date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2017-01-03,sh.600505,10.2000,10.3500,10.1500,10.3500,10.1500,3435775,35317577.0000,0.942425,1.970451,1,0
2017-01-04,sh.600505,10.3700,10.5300,10.2700,10.4800,10.3500,4560976,47576938.0000,1.251065,1.256031,1,0
2017-01-05,sh.600505,10.4800,10.8700,10.3800,10.7100,10.4800,6503315,69788079.0000,1.783844,2.194661,1,0
2017-01-06,sh.600505,10.7100,11.0900,10.6300,10.7300,10.7100,6026179,65550263.0000,1.652967,0.186737,1,0
2017-01-09,sh.600505,10.7000,11.0900,10.7000,10.9700,10.7300,7058440,77251052.0000,1.936113,2.236726,1,0
2017-01-10,sh.600505,10.9600,10.9600,10.8200,10.8800,10.9700,4295539,46759907.0000,1.178256,-0.820421,1,0
2017-01-11,sh.600505,10.8100,10.9500,10.7200,10.7400,10.8800,4776587,51659505.0000,1.310206,-1.286768,1,0
2017-01-12,sh.600505,10.6800,11.2500,10.6800,10.9800,10.7400,10428132,114547550.0000,2.860412,2.234635,1,0
2017-01-13,sh.600505,10.8700,10.8800,10.2800,10.3000,10.9800,9737189,102730283.0000,2.670888,-6.193073,1,0
2017-01-16,sh.600505,10.2000,10.2100,9.2700,9.7800,10.3000,10463637,101286968.0000,2.870151,-5.048548,1,0
2017-01-17,sh.600505,9.6500,9.6500,9.2100,9.5400,9.7800,7740865,73359725.0000,2.123301,-2.453985,1,0
2017-01-18,sh.600505,9.5400,9.6300,9.4100,9.4900,9.5400,3357564,32016885.0000,0.920972,-0.524111,1,0
2017-01-19,sh.600505,9.4300,9.6000,9.2700,9.5100,9.4900,4606173,43460788.0000,1.263462,0.210753,1,0
2017-01-20,sh.600505,9.4900,9.8900,9.4100,9.8600,9.5100,6368205,61769098.0000,1.746784,3.680331,1,0
2017-01-23,sh.600505,9.7800,9.9100,9.7100,9.8400,9.8600,3233183,31722157.0000,0.886854,-0.202835,1,0
2017-01-24,sh.600505,9.7800,9.8600,9.7300,9.7500,9.8400,3037265,29682732.0000,0.833115,-0.914636,1,0
2017-01-25,sh.600505,9.7400,9.8200,9.6900,9.7600,9.7500,2930824,28577956.0000,0.803918,0.102567,1,0
2017-01-26,sh.600505,9.7600,9.8300,9.7300,9.8000,9.7600,2527983,24716704.0000,0.693420,0.409836,1,0
2017-02-03,sh.600505,9.8000,9.8400,9.7400,9.8000,9.8000,1985776,19439883.0000,0.544694,0.000000,1,0
2017-02-06,sh.600505,9.8300,10.0000,9.8000,9.9800,9.8000,3871355,38403572.0000,1.061903,1.836728,1,0
2017-02-07,sh.600505,9.9400,10.0000,9.8000,9.9200,9.9800,3623277,35910712.0000,0.993856,-0.601197,1,0
2017-02-08,sh.600505,9.9200,10.0300,9.8100,10.0000,9.9200,3172157,31529297.0000,0.870115,0.806451,1,0
2017-02-09,sh.600505,10.0000,10.0800,9.9700,10.0700,10.0000,5769716,57738049.0000,1.582619,0.699997,1,0
2017-02-10,sh.600505,10.0700,10.2600,10.0700,10.1900,10.0700,4607163,46903061.0000,1.263734,1.191657,1,0
2017-02-13,sh.600505,10.1900,10.2500,10.0400,10.2000,10.1900,3465840,35136302.0000,0.950672,0.098138,1,0
