date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2019-07-22,sh.688028,53.8900,70.0700,38.4200,56.0000,26.6800,13703182,687737007.0000,75.489315,109.895100,1,0
2019-07-23,sh.688028,45.1100,55.5800,44.8000,52.1900,56.0000,7379802,377529457.0000,40.654513,-6.803574,1,0
2019-07-24,sh.688028,53.5900,70.3300,53.1000,70.3300,52.1900,11421365,695057575.0000,62.919037,34.757620,1,0
2019-07-25,sh.688028,68.0000,82.1000,62.2300,73.9300,70.3300,12766372,902575539.0000,70.328532,5.118723,1,0
2019-07-26,sh.688028,70.1200,79.5000,68.2400,73.9000,73.9300,10233901,761823308.0000,56.377400,-0.040600,1,0
2019-07-29,sh.688028,79.5000,88.6800,76.5000,88.6800,73.9000,5499858,463342497.0000,30.298110,20.000000,1,0
2019-07-30,sh.688028,95.0000,105.9000,85.2600,91.7200,88.6800,12521632,1174289699.0000,68.980300,3.428100,1,0
2019-07-31,sh.688028,90.0000,105.1800,88.9400,105.0000,91.7200,11190869,1063720875.0000,61.649300,14.478800,1,0
2019-08-01,sh.688028,105.7000,126.0000,102.0200,126.0000,105.0000,10018377,1125411787.0000,55.190100,20.000000,1,0
2019-08-02,sh.688028,129.7800,151.2000,128.5000,138.3000,126.0000,11153635,1563079688.0000,61.444100,9.761900,1,0
2019-08-05,sh.688028,139.0000,148.8800,127.2200,142.4000,138.3000,9591814,1329772183.0000,52.840200,2.964600,1,0
2019-08-06,sh.688028,136.0000,148.5300,114.0000,122.8300,142.4000,10451772,1425968257.0000,57.577700,-13.743000,1,0
2019-08-07,sh.688028,128.0000,137.0000,124.5000,129.2600,122.8300,8668279,1134464649.0000,47.752600,5.234900,1,0
2019-08-08,sh.688028,123.0000,132.9300,118.7700,130.9900,129.2600,8199445,1031407896.0000,45.169800,1.338400,1,0
2019-08-09,sh.688028,130.0300,148.8000,126.0800,135.0000,130.9900,10327446,1409368534.0000,56.892800,3.061300,1,0
2019-08-12,sh.688028,135.5000,142.7000,128.0200,142.7000,135.0000,8314074,1139751765.0000,45.801300,5.703700,1,0
2019-08-13,sh.688028,143.8800,158.8800,142.6300,156.0000,142.7000,10255231,1554023743.0000,56.494900,9.320300,1,0
2019-08-14,sh.688028,159.9000,162.0800,151.3000,157.6300,156.0000,8135290,1268486821.0000,44.816400,1.044900,1,0
2019-08-15,sh.688028,152.0000,159.8800,150.1000,152.6000,157.6300,6212410,961307223.0000,34.223500,-3.191000,1,0
2019-08-16,sh.688028,154.0100,154.9900,146.1000,146.4800,152.6000,6259769,940508014.0000,34.484400,-4.010500,1,0
2019-08-19,sh.688028,143.0000,144.9900,134.2100,134.8300,146.4800,6653019,918809256.0000,36.650700,-7.953300,1,0
2019-08-20,sh.688028,135.7700,142.5600,132.6800,139.1000,134.8300,6083527,842643801.0000,33.513500,3.167000,1,0
2019-08-21,sh.688028,136.0100,142.8000,134.1800,142.3000,139.1000,6868789,958479400.0000,37.839400,2.300500,1,0
2019-08-22,sh.688028,141.8000,143.4800,128.3200,128.3200,142.3000,6259622,853233988.0000,34.483600,-9.824300,1,0
2019-08-23,sh.688028,125.0000,128.3200,105.0500,113.9000,128.3200,8186851,968717177.0000,45.100500,-11.237500,1,0
2019-08-26,sh.688028,113.0000,118.6000,109.3000,114.0500,113.9000,4964393,568371685.0000,27.348300,0.131700,1,0
2019-08-27,sh.688028,114.0900,117.5000,112.6000,115.1700,114.0500,3799445,437937274.0000,20.930700,0.982000,1,0
2019-08-28,sh.688028,114.0000,114.3800,106.1000,108.3100,115.1700,5137559,564504957.0000,28.302200,-5.956400,1,0
2019-08-29,sh.688028,106.5000,108.1500,99.9000,106.4000,108.3100,5443309,565226751.0000,29.986600,-1.763500,1,0
2019-08-30,sh.688028,105.5200,112.0000,102.6600,108.8800,106.4000,5914476,637307684.0000,32.582200,2.330800,1,0
2019-09-02,sh.688028,108.0000,108.8500,105.2000,106.3000,108.8800,3145163,336328425.0000,17.326400,-2.369600,1,0
2019-09-03,sh.688028,105.0600,123.5000,104.4200,121.5000,106.3000,7638112,887592924.0000,42.077500,14.299100,1,0
2019-09-04,sh.688028,119.5000,127.0000,118.1600,120.0000,121.5000,6630788,818721650.0000,36.528300,-1.234600,1,0
2019-09-05,sh.688028,120.0000,124.8000,117.0000,124.2600,120.0000,4984667,603841403.0000,27.460000,3.550000,1,0
2019-09-06,sh.688028,124.2400,126.6600,113.1800,113.9900,124.2600,5057060,610049063.0000,27.858800,-8.264900,1,0
2019-09-09,sh.688028,113.0000,115.6300,110.7200,111.9000,113.9900,3503000,395260959.0000,19.297600,-1.833500,1,0
2019-09-10,sh.688028,111.8500,119.0000,111.8500,114.0100,111.9000,3976252,460810462.0000,21.904700,1.885600,1,0
2019-09-11,sh.688028,113.0000,117.2000,111.0100,114.2500,114.0100,3224042,370236750.0000,17.760900,0.210500,1,0
2019-09-12,sh.688028,114.4500,114.4500,107.0000,109.0000,114.2500,3691245,404591624.0000,20.334700,-4.595200,1,0
2019-09-16,sh.688028,109.5000,114.8800,109.0000,112.4800,109.0000,3151370,354304762.0000,17.360500,3.192700,1,0
2019-09-17,sh.688028,111.0000,114.8000,111.0000,112.5000,112.4800,3267430,370101102.0000,17.999900,0.017800,1,0
2019-09-18,sh.688028,112.0000,113.5600,106.6000,113.0100,112.5000,4192494,460084495.0000,23.096000,0.453300,1,0
2019-09-19,sh.688028,112.0100,121.9800,110.6900,116.2200,113.0100,5109818,599222637.0000,28.149400,2.840500,1,0
2019-09-20,sh.688028,114.6000,118.7800,113.0100,116.5000,116.2200,3750581,435307191.0000,20.661500,0.240900,1,0
2019-09-23,sh.688028,117.9000,121.4000,116.7100,117.6900,116.5000,3766892,448174690.0000,20.751400,1.021500,1,0
2019-09-24,sh.688028,116.0200,122.5600,116.0000,121.1100,117.6900,4759148,571026431.0000,26.217600,2.905900,1,0
2019-09-25,sh.688028,121.0000,122.9900,111.8800,111.9800,121.1100,4387713,513615664.0000,24.171400,-7.538600,1,0
2019-09-26,sh.688028,111.0000,111.5800,101.4000,101.5200,111.9800,4158326,437569740.0000,22.907800,-9.341000,1,0
2019-09-27,sh.688028,102.0000,107.5000,101.2000,103.9500,101.5200,2944352,306765421.0000,16.220100,2.393600,1,0
2019-09-30,sh.688028,103.9000,103.9000,89.3100,93.4100,103.9500,3665684,351501890.0000,20.193800,-10.139500,1,0
2019-10-08,sh.688028,91.8800,94.3800,89.0000,89.8000,93.4100,2056021,187458411.0000,11.326400,-3.864700,1,0
2019-10-09,sh.688028,90.7300,92.8400,89.4000,91.3000,89.8000,1683970,154282296.0000,9.276800,1.670400,1,0
2019-10-10,sh.688028,91.4600,93.3000,89.9000,91.6000,91.3000,1941916,178129904.0000,10.697800,0.328600,1,0
2019-10-11,sh.688028,91.6000,92.2800,88.5400,88.6100,91.6000,1955772,176829867.0000,10.774100,-3.264200,1,0
2019-10-14,sh.688028,88.8800,90.0000,86.1300,89.5100,88.6100,2080466,184382090.0000,11.461100,1.015700,1,0
2019-10-15,sh.688028,89.9500,92.5000,88.8100,89.6600,89.5100,2058694,186842451.0000,11.341100,0.167600,1,0
2019-10-16,sh.688028,89.7000,90.4400,83.4100,86.4300,89.6600,3022324,260545045.0000,16.649600,-3.602500,1,0
2019-10-17,sh.688028,85.2500,86.6600,82.7300,82.9000,86.4300,1879199,158025195.0000,10.352300,-4.084200,1,0
2019-10-18,sh.688028,82.9000,86.8000,82.4100,82.8000,82.9000,2642635,223546755.0000,14.558000,-0.120600,1,0
2019-10-21,sh.688028,83.3300,83.3300,75.6800,78.0000,82.8000,2908853,227121311.0000,16.024600,-5.797100,1,0
2019-10-22,sh.688028,78.1000,78.7900,75.8100,78.1800,78.0000,1905282,147133543.0000,10.496000,0.230800,1,0
2019-10-23,sh.688028,77.5000,84.2000,76.0100,82.6800,78.1800,4127685,333453935.0000,22.739000,5.755900,1,0
2019-10-24,sh.688028,81.0000,83.4400,79.0500,79.0500,82.6800,2389038,194658534.0000,13.160900,-4.390400,1,0
2019-10-25,sh.688028,78.5000,80.5800,75.7500,76.1000,79.0500,1992746,154292228.0000,10.977800,-3.731800,1,0
2019-10-28,sh.688028,76.0500,78.6800,74.9000,76.8800,76.1000,2143184,164357591.0000,11.806600,1.025000,1,0
2019-10-29,sh.688028,76.0000,76.2100,71.6000,71.6000,76.8800,2696626,199578913.0000,14.855400,-6.867800,1,0
2019-10-30,sh.688028,71.5800,71.6200,68.3400,68.5500,71.6000,1789631,124553143.0000,9.858900,-4.259800,1,0
2019-10-31,sh.688028,68.3300,69.4800,62.6200,63.5600,68.5500,2719762,177400007.0000,14.982900,-7.279400,1,0
2019-11-01,sh.688028,63.9800,64.0100,62.5000,63.3500,63.5600,1142265,72531278.0000,6.292600,-0.330400,1,0
2019-11-04,sh.688028,64.5800,65.1800,63.1100,63.6000,63.3500,1339059,85723675.0000,7.376700,0.394600,1,0
2019-11-05,sh.688028,63.7600,63.7600,60.0000,60.1100,63.6000,1601538,97752122.0000,8.822700,-5.487400,1,0
2019-11-06,sh.688028,60.4000,61.3600,59.2000,60.0100,60.1100,1243836,74998220.0000,6.852200,-0.166400,1,0
2019-11-07,sh.688028,60.1800,62.4000,60.0100,61.3800,60.0100,2019688,123870481.0000,11.126200,2.283000,1,0
2019-11-08,sh.688028,62.5000,63.3000,60.6000,60.7900,61.3800,1805136,112330057.0000,9.944300,-0.961200,1,0
2019-11-11,sh.688028,58.8000,58.8800,54.5000,54.5000,60.7900,2052688,115510113.0000,11.308000,-10.347100,1,0
2019-11-12,sh.688028,54.9700,56.5000,54.5000,55.4000,54.5000,1528107,85050792.0000,8.418200,1.651400,1,0
2019-11-13,sh.688028,55.2000,56.5000,54.5300,55.4000,55.4000,1181639,65640603.0000,6.509500,0.000000,1,0
2019-11-14,sh.688028,55.7000,60.7900,54.5400,58.3900,55.4000,3239248,187359734.0000,17.844700,5.397100,1,0
2019-11-15,sh.688028,57.5000,63.0500,57.0200,61.3900,58.3900,3848952,234293950.0000,21.203500,5.137900,1,0
2019-11-18,sh.688028,60.6100,65.0500,60.5800,62.2900,61.3900,3010708,189812922.0000,16.585700,1.466000,1,0
2019-11-19,sh.688028,61.7000,62.6300,60.3000,62.2300,62.2900,2126949,130670446.0000,11.717100,-0.096300,1,0
2019-11-20,sh.688028,62.1000,62.5000,59.6000,59.7200,62.2300,1846832,112410376.0000,10.174000,-4.033400,1,0
2019-11-21,sh.688028,58.8600,59.6100,56.4100,57.7900,59.7200,2054367,118442763.0000,11.317300,-3.231700,1,0
2019-11-22,sh.688028,57.7700,58.8200,55.4700,55.5100,57.7900,1666182,94591372.0000,9.178800,-3.945300,1,0
2019-11-25,sh.688028,56.1400,57.5900,54.1300,56.7900,55.5100,1726714,96663290.0000,9.512300,2.305900,1,0
2019-11-26,sh.688028,56.1000,58.9000,56.1000,57.6900,56.7900,1776135,102561779.0000,9.784500,1.584800,1,0
2019-11-27,sh.688028,57.6800,58.4900,56.0000,56.1000,57.6900,1486801,85063579.0000,8.190600,-2.756100,1,0
2019-11-28,sh.688028,56.0000,57.5000,55.0400,56.1000,56.1000,1340611,75719219.0000,7.385300,0.000000,1,0
2019-11-29,sh.688028,56.4000,58.2000,56.1000,58.1000,56.1000,1977317,113282346.0000,10.892800,3.565100,1,0
2019-12-02,sh.688028,58.0000,60.9600,58.0000,59.0100,58.1000,2165620,129279467.0000,11.930200,1.566300,1,0
2019-12-03,sh.688028,58.4400,59.0000,55.7000,56.0300,59.0100,2160204,122014557.0000,11.900300,-5.050000,1,0
2019-12-04,sh.688028,55.7700,57.3100,55.7700,56.6200,56.0300,1171959,66387517.0000,6.456200,1.053000,1,0
2019-12-05,sh.688028,56.6200,56.9600,55.8500,56.6400,56.6200,963383,54182359.0000,5.307200,0.035300,1,0
2019-12-06,sh.688028,56.8300,57.8500,56.3200,56.5600,56.6400,1095449,62484721.0000,6.034700,-0.141200,1,0
2019-12-09,sh.688028,57.5100,60.8900,57.5100,60.8200,56.5600,3677119,218507977.0000,20.256800,7.531800,1,0
2019-12-10,sh.688028,60.0000,72.9800,59.9000,70.0000,60.8200,7225451,484473312.0000,39.804200,15.093700,1,0
2019-12-11,sh.688028,68.0000,70.9200,65.0300,66.1900,70.0000,4693574,315780225.0000,25.856400,-5.442900,1,0
2019-12-12,sh.688028,65.3300,69.5000,65.3300,67.0800,66.1900,3307800,222790438.0000,18.222300,1.344600,1,0
2019-12-13,sh.688028,67.5100,68.9800,64.5000,65.7200,67.0800,2570187,170094570.0000,14.158900,-2.027400,1,0
2019-12-16,sh.688028,66.0000,67.8600,66.0000,66.6200,65.7200,1801407,120216340.0000,9.923800,1.369400,1,0
2019-12-17,sh.688028,67.1900,68.1000,66.0900,68.0000,66.6200,2529135,170040506.0000,13.932700,2.071400,1,0
2019-12-18,sh.688028,68.1000,72.2900,68.1000,71.0100,68.0000,4039057,285837104.0000,22.250700,4.426500,1,0
2019-12-19,sh.688028,71.2000,71.3700,68.1500,68.1600,71.0100,2357050,162380577.0000,12.984700,-4.013500,1,0
2019-12-20,sh.688028,67.9900,69.1500,65.9900,65.9900,68.1600,1833077,123761866.0000,10.098200,-3.183700,1,0
2019-12-23,sh.688028,65.3000,65.9900,62.2000,62.4200,65.9900,1955853,124526350.0000,10.774600,-5.409900,1,0
2019-12-24,sh.688028,62.4700,64.0200,62.2000,63.5100,62.4200,1131256,71870818.0000,6.232000,1.746200,1,0
2019-12-25,sh.688028,63.5100,66.4900,63.4100,65.3800,63.5100,2095617,136772233.0000,11.544500,2.944400,1,0
2019-12-26,sh.688028,65.4900,66.4400,64.0200,65.1000,65.3800,1539408,100291136.0000,8.480400,-0.428300,1,0
2019-12-27,sh.688028,64.9200,66.6500,64.3500,64.3600,65.1000,1677067,110117194.0000,9.238800,-1.136700,1,0
2019-12-30,sh.688028,64.9600,64.9600,61.9200,63.5500,64.3600,1162250,73544130.0000,6.402700,-1.258500,1,0
2019-12-31,sh.688028,63.5500,64.5500,62.9100,63.6200,63.5500,896388,57199745.0000,4.938100,0.110100,1,0
2020-01-02,sh.688028,64.2500,65.9600,64.2500,65.6000,63.6200,1526939,99698792.0000,8.411700,3.112200,1,0
2020-01-03,sh.688028,65.6000,70.2900,65.6000,68.5100,65.6000,2821405,191225988.0000,15.542800,4.436000,1,0
2020-01-06,sh.688028,67.3400,69.8800,66.6700,67.8900,68.5100,2062557,140354548.0000,11.362400,-0.905000,1,0
2020-01-07,sh.688028,67.9000,68.9800,67.1000,68.8000,67.8900,1893214,128998575.0000,10.429500,1.340400,1,0
2020-01-08,sh.688028,68.0100,71.5900,68.0000,69.3500,68.8000,3091311,216507877.0000,17.029700,0.799400,1,0
2020-01-09,sh.688028,69.1500,71.6700,69.1500,70.3500,69.3500,2193495,154987778.0000,12.083700,1.442000,1,0
2020-01-10,sh.688028,70.9400,71.8800,68.9100,68.9100,70.3500,1856367,130019757.0000,10.226500,-2.046900,1,0
2020-01-13,sh.688028,68.8000,69.8600,67.2100,69.6000,68.9100,1723794,118109161.0000,9.496200,1.001300,1,0
2020-01-14,sh.688028,70.0100,71.8000,69.0600,70.6800,69.6000,2254369,158592253.0000,12.419100,1.551700,1,0
2020-01-15,sh.688028,70.0100,71.5800,67.5600,67.8000,70.6800,1975349,137053474.0000,10.882000,-4.074700,1,0
2020-01-16,sh.688028,67.9000,69.2900,67.7100,68.8000,67.8000,2158360,148248279.0000,11.890200,1.474900,1,0
2020-01-17,sh.688028,68.9900,80.0000,68.9900,77.4800,68.8000,5831178,437579191.0000,32.123300,12.616300,1,0
2020-01-20,sh.688028,76.8000,79.7000,71.2800,75.8100,77.4800,3747199,284299906.0000,20.642900,-2.155400,1,0
2020-01-21,sh.688028,75.9900,79.0000,73.4000,74.6900,75.8100,2512266,191824540.0000,13.839800,-1.477400,1,0
2020-01-22,sh.688028,72.0000,75.9900,69.9700,73.5300,74.6900,2995797,216903497.0000,15.767400,-1.553100,1,0
2020-01-23,sh.688028,73.3300,75.5000,69.3300,70.5300,73.5300,2285026,165819089.0000,12.026500,-4.080000,1,0
2020-02-03,sh.688028,56.4200,58.8300,56.4200,56.4200,70.5300,1900085,107775436.0000,10.000400,-20.005700,1,0
2020-02-04,sh.688028,57.0000,61.6400,57.0000,60.4500,56.4200,2870800,171356052.0000,15.109500,7.142900,1,0
2020-02-05,sh.688028,60.6000,65.2900,60.1000,62.7000,60.4500,3045477,192623377.0000,16.028800,3.722100,1,0
2020-02-06,sh.688028,62.0300,65.4500,60.0000,63.8500,62.7000,2823682,179608829.0000,14.861500,1.834100,1,0
2020-02-07,sh.688028,64.0300,67.2400,62.8800,67.0400,63.8500,3602713,234184840.0000,18.961600,4.996100,1,0
2020-02-10,sh.688028,66.8000,71.8800,66.6600,70.2200,67.0400,3308012,229686498.0000,17.410600,4.743400,1,0
2020-02-11,sh.688028,70.2200,71.3100,65.6700,66.4400,70.2200,2820944,190953444.0000,14.847100,-5.383100,1,0
2020-02-12,sh.688028,65.9000,69.1300,65.8000,68.1700,66.4400,2184718,148340320.0000,11.498500,2.603800,1,0
2020-02-13,sh.688028,68.0300,72.0000,68.0300,69.2700,68.1700,3343310,234815083.0000,17.596400,1.613600,1,0
2020-02-14,sh.688028,69.3400,71.0100,65.8900,67.1800,69.2700,2798505,191169842.0000,14.729000,-3.017200,1,0
2020-02-17,sh.688028,67.2000,75.9900,67.2000,73.6300,67.1800,4388023,315247957.0000,23.094900,9.601100,1,0
2020-02-18,sh.688028,73.6300,74.2000,71.3000,73.4300,73.6300,3320483,241720982.0000,17.476200,-0.271600,1,0
2020-02-19,sh.688028,73.2000,77.0000,71.7000,74.6000,73.4300,3716104,275344603.0000,19.558400,1.593400,1,0
2020-02-20,sh.688028,74.7000,78.5000,74.0800,75.0000,74.6000,4228705,322429077.0000,22.256300,0.536200,1,0
2020-02-21,sh.688028,73.8300,74.5000,71.0000,72.1400,75.0000,3578872,258644755.0000,18.836200,-3.813300,1,0
2020-02-24,sh.688028,71.2000,72.3800,69.4000,69.9600,72.1400,2683884,188892090.0000,14.125700,-3.021900,1,0
2020-02-25,sh.688028,68.0000,70.1500,67.2700,69.4200,69.9600,2353572,161679197.0000,12.387200,-0.771900,1,0
2020-02-26,sh.688028,68.0100,71.2700,66.8900,67.2800,69.4200,2082563,143686428.0000,10.960900,-3.082700,1,0
2020-02-27,sh.688028,67.7000,68.4400,63.9000,63.9100,67.2800,1881273,123113650.0000,9.901400,-5.008900,1,0
2020-02-28,sh.688028,61.7000,61.7700,57.5700,58.0000,63.9100,2526455,151105395.0000,13.297100,-9.247400,1,0
2020-03-02,sh.688028,58.6000,60.9700,58.6000,60.9700,58.0000,1754859,105668648.0000,9.236100,5.120700,1,0
2020-03-03,sh.688028,62.3200,63.9000,61.0000,61.7000,60.9700,1852954,116171388.0000,9.752400,1.197300,1,0
