date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2017-01-03,sz.000919,13.5300,13.8300,13.5300,13.7700,13.5300,1874662,25756595.0000,0.372592,1.773841,1,0
2017-01-04,sz.000919,13.7700,13.8800,13.6800,13.8800,13.7700,1886722,25960189.0000,0.374989,0.798836,1,0
2017-01-05,sz.000919,13.8000,13.9200,13.7600,13.9200,13.8800,1687044,23342297.0000,0.335303,0.288184,1,0
2017-01-06,sz.000919,13.8800,13.8900,13.8000,13.8400,13.9200,1051543,14549681.0000,0.208996,-0.574712,1,0
2017-01-09,sz.000919,13.8700,13.9300,13.8200,13.8800,13.8400,1198550,16605873.0000,0.238214,0.289017,1,0
2017-01-10,sz.000919,13.9100,13.9400,13.8200,13.8200,13.8800,1889148,26226828.0000,0.375471,-0.432280,1,0
2017-01-11,sz.000919,13.8200,13.8500,13.6800,13.7700,13.8200,1178928,16225846.0000,0.234314,-0.361789,1,0
2017-01-12,sz.000919,13.7600,13.8400,13.6600,13.7300,13.7700,1229578,16897775.0000,0.244381,-0.290493,1,0
2017-01-13,sz.000919,13.7300,13.7600,13.5800,13.6200,13.7300,964627,13180113.0000,0.191721,-0.801163,1,0
2017-01-16,sz.000919,13.5900,13.6300,12.7100,13.0100,13.6200,1931527,25555823.0000,0.383894,-4.478705,1,0
2017-01-17,sz.000919,13.0300,13.1500,12.8800,13.1300,13.0100,1828256,23804641.0000,0.363369,0.922366,1,0
2017-01-18,sz.000919,13.0800,13.1000,12.9300,12.9900,13.1300,1596482,20775861.0000,0.317304,-1.066263,1,0
2017-01-19,sz.000919,12.9500,13.0800,12.9400,13.0200,12.9900,1649629,21467285.0000,0.327867,0.230952,1,0
2017-01-20,sz.000919,13.0200,13.3400,12.9600,13.2800,13.0200,1610308,21279674.0000,0.320051,1.996922,1,0
2017-01-23,sz.000919,13.3200,13.4500,13.2100,13.3500,13.2800,1461863,19582898.0000,0.290548,0.527113,1,0
2017-01-24,sz.000919,13.4000,13.4800,13.3000,13.3600,13.3500,1795155,24033000.0000,0.356790,0.074901,1,0
2017-01-25,sz.000919,13.3900,13.5300,13.3100,13.5300,13.3600,1317697,17759007.0000,0.261895,1.272456,1,0
2017-01-26,sz.000919,13.5300,13.7400,13.5300,13.5900,13.5300,1274756,17421427.0000,0.253360,0.443462,1,0
