date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,isST
2021-07-08,sh.688789,150.0000,183.0000,150.0000,165.5000,30.2800,12825016,2170006495.3000,83.061600,446.565400,1,0
2021-07-09,sh.688789,161.0000,175.6600,156.1100,173.5600,165.5000,5180209,869217411.0600,33.549800,4.870100,1,0
2021-07-12,sh.688789,178.0000,183.0100,171.1100,183.0100,173.5600,3063041,547138129.2700,19.837900,5.444800,1,0
2021-07-13,sh.688789,185.0000,214.0000,185.0000,210.0000,183.0100,2662549,528945243.4500,17.244100,14.747800,1,0
2021-07-14,sh.688789,211.0000,217.2000,200.1200,206.8600,210.0000,1926245,402036233.3700,12.475400,-1.495200,1,0
2021-07-15,sh.688789,205.5000,225.9800,205.5000,224.9900,206.8600,1554451,336490755.8100,10.067400,8.764400,1,0
2021-07-16,sh.688789,228.0000,256.8800,223.0000,239.5000,224.9900,1738168,423373374.9400,11.257300,6.449200,1,0
2021-07-19,sh.688789,244.0000,247.7000,223.0100,237.0000,239.5000,1360227,320947598.2400,8.809600,-1.043800,1,0
2021-07-20,sh.688789,235.0000,244.1300,227.5100,242.3000,237.0000,817980,192428958.7600,5.297700,2.236300,1,0
2021-07-21,sh.688789,242.0000,249.2500,235.3800,244.0000,242.3000,892902,216745641.3700,5.782900,0.701600,1,0
2021-07-22,sh.688789,242.0000,265.2500,242.0000,265.2500,244.0000,875157,223343221.0900,5.668000,8.709000,1,0
2021-07-23,sh.688789,265.0000,265.0000,233.5000,245.7000,265.2500,1493970,364229017.1700,9.675700,-7.370400,1,0
2021-07-26,sh.688789,241.5800,246.9800,227.3700,239.9800,245.7000,1024626,244638293.9000,6.636000,-2.328000,1,0
2021-07-27,sh.688789,242.1800,263.0000,238.0000,243.0000,239.9800,890500,223825703.2300,5.767400,1.258400,1,0
2021-07-28,sh.688789,242.0000,245.9900,223.5000,238.0300,243.0000,896446,212421516.0700,5.805900,-2.045300,1,0
2021-07-29,sh.688789,236.0000,263.0000,236.0000,262.7600,238.0300,831722,207478577.0200,5.386700,10.389400,1,0
2021-07-30,sh.688789,257.1600,286.0000,252.5600,281.0000,262.7600,780105,209636694.4200,5.052400,6.941700,1,0
2021-08-02,sh.688789,280.8000,280.8000,262.0000,275.0500,281.0000,897392,241823672.1700,5.812000,-2.117400,1,0
2021-08-03,sh.688789,270.1900,298.7000,264.1300,277.9800,275.0500,827026,233312604.3900,5.356300,1.065300,1,0
2021-08-04,sh.688789,270.9800,283.6300,266.0200,271.0000,277.9800,480223,131329118.3300,3.110200,-2.511000,1,0
2021-08-05,sh.688789,268.0000,299.5500,267.0000,281.1500,271.0000,714613,205657099.9600,4.628200,3.745400,1,0
2021-08-06,sh.688789,283.0000,297.5000,279.3300,286.9800,281.1500,530558,154126245.9900,3.436200,2.073600,1,0
2021-08-09,sh.688789,288.0000,288.0000,258.3200,272.8000,286.9800,777939,211753233.4500,5.038300,-4.941100,1,0
2021-08-10,sh.688789,274.6200,295.8800,273.0000,288.3900,272.8000,670502,191696584.6100,4.342500,5.714800,1,0
2021-08-11,sh.688789,293.0000,293.0000,273.6500,286.6100,288.3900,496937,140528005.1700,3.218400,-0.617200,1,0
