数据由预测者网(www.yucezhe.com)整理，任何问题请联系官方微信:yucezhekefu，或者官方QQ:730809289
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额
sh600002,sh600002,1998-04-08,5.47,5.48,5.2,5.25,5.0,128095648,678466110.0
sh600002,sh600002,1998-04-09,5.26,5.78,5.26,5.78,5.25,84629056,471064459.0
sh600002,sh600002,1998-04-10,5.88,6.36,5.8,6.07,5.78,99511695,601135283.0
sh600002,sh600002,1998-04-13,6.1,6.41,6.02,6.1,6.07,45998708,283291622.0
sh600002,sh600002,1998-04-14,6.09,6.12,5.87,5.97,6.1,21146442,126601455.0
sh600002,sh600002,1998-04-15,6.01,6.03,5.8,5.88,5.97,14643142,86043500.0
sh600002,sh600002,1998-04-16,5.88,5.88,5.7,5.76,5.88,15310227,88451144.0
sh600002,sh600002,1998-04-17,5.75,5.75,5.61,5.67,5.76,8763494,49658225.0
sh600002,sh600002,1998-04-20,5.61,5.63,5.48,5.5,5.67,9416900,52220354.0
sh600002,sh600002,1998-04-21,5.5,5.78,5.5,5.63,5.5,6982621,39449765.0
sh600002,sh600002,1998-04-22,5.69,5.78,5.6,5.68,5.63,6567605,37147494.0
sh600002,sh600002,1998-04-23,5.68,5.72,5.57,5.61,5.68,5429701,30433717.0
sh600002,sh600002,1998-04-24,5.65,5.67,5.55,5.59,5.61,6960169,38832943.0
sh600002,sh600002,1998-04-27,5.57,5.57,5.45,5.5,5.59,7431402,40845254.0
sh600002,sh600002,1998-04-28,5.52,5.78,5.52,5.67,5.5,6304903,35558395.0
sh600002,sh600002,1998-04-29,5.68,5.73,5.56,5.58,5.67,3696886,20693174.0
sh600002,sh600002,1998-04-30,5.58,5.6,5.52,5.56,5.58,4584728,25435458.0
sh600002,sh600002,1998-05-04,5.57,5.6,5.49,5.55,5.56,7324110,40389219.0
sh600002,sh600002,1998-05-05,5.55,5.65,5.51,5.52,5.55,4720200,26264103.0
