,date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST,5_day_mean_growth,5_day_max_growth,5_day_min_growth,5_day_price_variance,5-Day Price 4th Derivative,5-Day Price x Volume,3-Day Avg Close,10-Day Avg Close,15-Day Avg Close,30-Day Avg Close,60-Day Avg Close,Signal3,Signal5,Signal10,Signal20,Signal30,minus 10-3 Day Avg Close,minus 15-3 Day Avg Close,minus 30-10 Day Avg Close,minus 30-3 Day Avg Close,minus 60-15 Day Avg Close,3-Day Avg volume,10-Day Avg volume,15-Day Avg volume,div 10-3 Day Avg volume,div 15-3 Day Avg Close,div 15-10 Day Avg Close,div 15-3 Day Avg volume,div 15-10 Day Avg volume
0,2010-01-04,sh.000300,3592.4680,3597.7480,3535.2290,3535.229,3575.6840,6610108000,93419838921.0000,0.006395,-1.131394,1,,,,,0,,,,,,23368245494732.0,,,,,,-1.8039284018093225,-1.5042024151759246,-0.9771644213147046,-10.82028915241417,-8.539305374559895,,,,,,,,,,,,,
1,2010-01-05,sh.000300,3545.1860,3577.5260,3497.6610,3564.038,3535.2290,8580964100,128302442618.0000,0.008301,0.814914,1,,,,,0,,,,,,30582882129035.8,,,,,,-2.3542958857341,-0.8171068883103896,-1.5868517675737475,-11.72403324543678,-10.252528171697383,,,,,,,,,,,,,
2,2010-01-06,sh.000300,3558.7000,3588.8320,3541.1730,3541.727,3564.0380,7847312500,121045989916.0000,0.007591,-0.626004,1,,,,,0,,,,,,27793038558687.5,3546.9979999999996,,,,,-1.684912473491032,-3.4046384715705105,-4.15879033025413,-8.781365700970168,-8.392628793805951,,,,,,7679461533.333333,,,,,,,
3,2010-01-07,sh.000300,3543.1600,3558.5560,3452.7690,3471.456,3541.7270,8035003700,120436166283.0000,0.007773,-1.984089,1,,,,,0,,,,,,27893161804387.2,3525.740333333333,,,,,1.8280513997584884,-0.06927928799904708,-1.8114013255533141,-7.278041259920909,-5.165786344404191,,,,,,8154426766.666667,,,,,,,
4,2010-01-08,sh.000300,3456.9080,3482.0830,3426.6980,3480.13,3471.4560,6079025300,90190959969.0000,0.005880,0.249861,1,,,,,0,,,,,,21155798317289.0,3497.7709999999993,,,,,-1.6949366833997674,0.07493972926297926,-3.2738144839416914,-9.397436302666858,-5.702775471031252,,,,,,7320447166.666667,,,,,,,
5,2010-01-11,sh.000300,3593.1060,3594.5280,3465.3170,3482.052,3480.1300,8998017200,134114001104.0000,0.008543,0.055231,1,,,,,0,,,,,-55.098999999999705,31331563787294.402,3477.879333333333,,,,,-0.3733717934137745,0.5350867821617845,-4.423770811004546,-9.507727052898701,-4.526899655720258,,,,,,7704015400.0,,,,,,,
6,2010-01-12,sh.000300,3477.8420,3535.4070,3437.6610,3534.916,3482.0520,9374327800,134071416354.0000,0.008901,1.518186,1,,,,,0,-0.0029801719413934612,0.00814911848709099,-0.019840885534091024,0.00011534952645712195,-81.98599999999988,33137461329464.8,3499.0326666666665,,,,,-1.4760746790022827,-0.7760863341590067,-8.263817301457802,-10.34610157638824,-6.327731691502719,,,,,,8150456766.666667,,,,,,,
7,2010-01-13,sh.000300,3448.2910,3490.1120,3415.6930,3421.144,3534.9160,11245790100,159860384574.0000,0.010677,-3.218520,1,,,,,0,-0.001573625130846823,0.015181852539824181,-0.019840885534091024,0.00016437606599799666,-6.810999999999694,38473467325874.4,3479.370666666667,,,,,2.3249532904782853,-0.7807329945772403,-6.505952394871422,-6.0510168528421975,-2.515620505889248,,,,,,9872711700.0,,,,,,,
8,2010-01-14,sh.000300,3433.4720,3470.3230,3411.8120,3469.051,3421.1440,8335325200,118107870086.0000,0.007914,1.400321,1,,,,,0,-0.006758659497595643,0.015181852539824181,-0.03218520609824971,0.0003595469539564943,-50.31200000000035,28915668220385.2,3475.0370000000003,,,,,1.1078245894914789,-1.7433298040299743,-7.566363250352899,-7.167752794640372,-6.297918364417245,,,,,,9651814366.666666,,,,,,,
9,2010-01-15,sh.000300,3472.5240,3500.0720,3448.6610,3482.738,3469.0510,7254310200,104035175785.0000,0.006885,0.394546,1,,,,,0,1.0159733611381228e-05,0.015181852539824181,-0.03218520609824971,0.00036725346492321657,-11.079000000000178,25264861797327.598,3457.6443333333336,3498.2481,,,,-2.535476398167179,-3.3462465451032983,-7.99896518199186,-6.645920537232489,-6.402261668836408,40.60376666666616,,,,,8945141833.333334,8236018410.0,,0.9207253013372193,,,,
10,2010-01-18,sh.000300,3471.7770,3501.2600,3458.0420,3500.684,3482.7380,8285430700,117884258544.0000,0.007864,0.515285,1,,,,,0,0.00029951894369162346,0.015181852539824181,-0.03218520609824971,0.00036947228731266056,0.6859999999996944,29004674684598.8,3484.1576666666674,3494.7936,,,,-2.631200074042676,-4.932464626912914,-9.940257389698708,-7.636764700841332,-6.127545359706855,10.63593333333256,,,,,7958355366.666667,8403550680.0,,1.055940617479589,,,,
11,2010-01-19,sh.000300,3506.8060,3528.3900,3497.0940,3507.482,3500.6840,7488323200,108023525533.0000,0.007107,0.194186,1,,,,,0,0.001219631777812591,0.015181852539824181,-0.03218520609824971,0.00037428674308424825,-34.23199999999997,26265158834182.4,3496.9680000000008,3489.1380000000004,,,,-4.028103351635157,-7.5462967450723895,-10.300637323299169,-8.80540513108834,-5.748254730886719,-7.830000000000382,,,,,7676021366.666667,8294286590.0,,1.080545010728887,,,,
12,2010-01-20,sh.000300,3512.2460,3515.4490,3387.8180,3394.434,3507.4820,9249514600,128416164613.0000,0.008779,-3.223049,1,,,,,0,-0.001428357488086407,0.014003210621944095,-0.03218520609824971,0.0003169164520810328,86.33800000000019,31396866841736.402,3467.5333333333347,3474.408700000001,,,,-1.956732698293738,-5.770269800502835,-4.823160503341648,-4.417555327338815,-3.380239533306591,6.875366666666196,,,,,8341089500.0,8434506800.0,,1.0111996520358641,,,,
13,2010-01-21,sh.000300,3397.0430,3425.1800,3364.7230,3408.574,3394.4340,7059506800,100076607006.0000,0.006700,0.416561,1,,,,,0,-0.0014374220503050373,0.014003210621944095,-0.03223052890934286,0.00031761385633216345,-74.61699999999973,24062851331303.2,3436.8300000000017,3468.120500000001,,,,-4.863529440757339,-5.926349259250347,-5.567489513209921,-3.416267330561106,-3.8687439380808555,31.290499999999156,,,,,7932448200.0,8336957110.0,,1.0509942075638137,,,,
14,2010-01-22,sh.000300,3364.4520,3390.7960,3293.1940,3366.197,3408.5740,8893340400,119197815814.0000,0.008441,-1.243246,1,,,,,0,-0.0034049355883080112,0.0051528423900966125,-0.03223052890934286,0.00026102026939833534,-74.16399999999976,29936735774458.8,3389.735000000002,3456.727200000001,3477.3234666666667,,,-4.97983332526291,-4.813800261838505,-6.3308831895459505,-2.511172103118146,-3.953155445150712,66.99219999999923,87.58846666666477,,,,8400787266.666667,8618388620.0,8222419986.666667,1.0259024953764453,0.9787677899299104,0.9540553749903502,0.9787677899299104,0.9540553749903502
15,2010-01-25,sh.000300,3340.0130,3372.4260,3326.2660,3328.014,3366.1970,5684917100,76626626843.0000,0.005384,-1.134310,1,,,,,0,-0.006680521827581209,0.0051528423900966125,-0.03223052890934286,0.0002544754634703234,-134.48700000000008,18919483697639.402,3367.595000000001,3441.323400000001,3463.5091333333335,,,-3.649143302882739,-5.267616061711286,-5.319268488654203,-0.10790219031531566,-4.351874721680862,73.72839999999997,95.9141333333323,,,,7212588100.0,8287078610.0,8160740593.333333,1.1489743341921883,1.1314580120460966,0.9847548186022738,1.1314580120460966,0.9847548186022738
