date,code,open,high,low,close,preclose,volume,amount,turn,pctChg,tradestatus,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-01-04,sh.000001,3289.7500,3295.2790,3243.3190,3243.7600,3277.1390,10944792700,133773495628.0000,0.009476,-1.018538,1,,,,,0
2010-01-05,sh.000001,3254.4680,3290.5120,3221.4620,3282.1790,3243.7600,12611506600,161858172981.0000,0.010918,1.184395,1,,,,,0
2010-01-06,sh.000001,3277.5170,3295.8680,3253.0440,3254.2150,3282.1790,12365138400,158040114734.0000,0.010705,-0.851991,1,,,,,0
2010-01-07,sh.000001,3253.9910,3268.8190,3176.7070,3192.7760,3254.2150,12865282700,157229581955.0000,0.011138,-1.887988,1,,,,,0
2010-01-08,sh.000001,3177.2590,3198.9200,3149.0170,3195.9970,3192.7760,9837714700,121739882073.0000,0.008516,0.100890,1,,,,,0
2010-01-11,sh.000001,3301.6110,3306.7510,3197.3280,3212.7500,3195.9970,13632721600,177557637092.0000,0.011601,0.524185,1,,,,,0
2010-01-12,sh.000001,3205.7050,3275.2020,3180.0850,3273.9660,3212.7500,14065524100,173949587793.0000,0.011969,1.905410,1,,,,,0
2010-01-13,sh.000001,3204.9760,3232.8180,3165.4850,3172.6580,3273.9660,15834427800,197329891936.0000,0.013455,-3.094354,1,,,,,0
2010-01-14,sh.000001,3183.3810,3219.0160,3165.5960,3215.5500,3172.6580,13595450400,168004201473.0000,0.011552,1.351929,1,,,,,0
2010-01-15,sh.000001,3217.1900,3241.8150,3197.2210,3224.1520,3215.5500,12054113500,151441932665.0000,0.010239,0.267514,1,,,,,0
2010-01-18,sh.000001,3213.6370,3238.2420,3202.2070,3237.0980,3224.1520,13506723800,169760710359.0000,0.011472,0.401526,1,,,,,0
2010-01-19,sh.000001,3242.2160,3268.8060,3236.8390,3246.8740,3237.0980,12994353200,162672571503.0000,0.011036,0.302003,1,,,,,0
2010-01-20,sh.000001,3252.0370,3255.1280,3148.3340,3151.8500,3246.8740,15824311200,192661666820.0000,0.013438,-2.926628,1,,,,,0
2010-01-21,sh.000001,3154.1890,3176.1470,3126.9020,3158.8630,3151.8500,11433707900,142103163041.0000,0.009701,0.222502,1,,,,,0
2010-01-22,sh.000001,3118.7240,3147.8290,3062.6290,3128.5880,3158.8630,13775853800,163570680340.0000,0.011688,-0.958419,1,,,,,0
2010-01-25,sh.000001,3103.3200,3136.9990,3092.9260,3094.4110,3128.5880,7836186200,95145982251.0000,0.006651,-1.092410,1,,,,,0
2010-01-26,sh.000001,3094.8480,3107.1980,3001.9560,3019.3940,3094.4110,9350709200,109256964463.0000,0.007933,-2.424269,1,,,,,0
2010-01-27,sh.000001,3020.5400,3028.6470,2972.6270,2986.6070,3019.3940,7655221400,90324580784.0000,0.006494,-1.085884,1,,,,,0
2010-01-28,sh.000001,2985.2140,3006.0390,2963.8910,2994.1430,2986.6070,7336576700,85654271669.0000,0.006223,0.252331,1,,,,,0
2010-01-29,sh.000001,2979.7430,3024.8480,2968.4530,2989.2920,2994.1430,8047587500,95656890364.0000,0.006826,-0.162019,1,,,,,0
2010-02-01,sh.000001,2981.3740,2981.3740,2912.8870,2941.3600,2989.2920,8814711400,103760395661.0000,0.007476,-1.603453,1,,,,,0
2010-02-02,sh.000001,2955.7530,2990.7480,2930.5590,2934.7130,2941.3600,8248578900,97685864724.0000,0.006987,-0.225991,1,,,,,0
2010-02-03,sh.000001,2945.0340,3005.1310,2890.0210,3003.8350,2934.7130,10102253700,119046397344.0000,0.008557,2.355326,1,,,,,0
2010-02-04,sh.000001,2983.0500,3015.1260,2968.6800,2995.3080,3003.8350,9991836400,114601290076.0000,0.008463,-0.283866,1,,,,,0
2010-02-05,sh.000001,2936.1970,2959.2330,2918.9090,2939.4020,2995.3080,9727498900,110882284806.0000,0.008232,-1.866453,1,,,,,0
2010-02-08,sh.000001,2936.4520,2954.2660,2922.1870,2935.1740,2939.4020,6329958200,73159983990.0000,0.005356,-0.143840,1,,,,,0
2010-02-09,sh.000001,2932.0900,2957.4740,2929.2100,2948.8420,2935.1740,6228220700,68112416248.0000,0.005270,0.465661,1,,,,,0
2010-02-10,sh.000001,2967.1380,2983.1790,2958.2170,2982.5000,2948.8420,5558800500,67017903260.0000,0.004703,1.141396,1,,,,,0
2010-02-11,sh.000001,2985.0820,3001.6360,2976.0790,2985.4990,2982.5000,5664630500,64892509383.0000,0.004789,0.100554,1,,,,,0
2010-02-12,sh.000001,2996.0880,3018.8580,2993.4370,3018.1330,2985.4990,5609212400,66931569830.0000,0.004745,1.093085,1,,,,,0
2010-02-22,sh.000001,3016.7030,3026.6590,3002.8110,3003.3980,3018.1330,6850514300,78744835872.0000,0.005794,-0.488219,1,,,,,0
2010-02-23,sh.000001,2998.9070,2998.9070,2938.7530,2982.5750,3003.3980,8039285800,98223524244.0000,0.006797,-0.693315,1,,,,,0
2010-02-24,sh.000001,2964.9840,3023.7390,2955.0690,3022.1770,2982.5750,9291896200,105568658353.0000,0.007857,1.327780,1,,,,,0
2010-02-25,sh.000001,3026.6560,3063.0040,3022.3730,3060.6180,3022.1770,11967078100,138961506698.0000,0.010119,1.271961,1,,,,,0
2010-02-26,sh.000001,3053.4980,3067.5250,3041.6890,3051.9430,3060.6180,10129629100,121468972402.0000,0.008570,-0.283433,1,,,,,0
2010-03-01,sh.000001,3057.0060,3093.0950,3054.5540,3087.8420,3051.9430,11103887800,131301895669.0000,0.009374,1.176265,1,,,,,0
2010-03-02,sh.000001,3089.7060,3095.9920,3060.9560,3073.1080,3087.8420,10532764700,124558675160.0000,0.008882,-0.477166,1,,,,,0
2010-03-03,sh.000001,3074.0990,3098.4560,3061.4670,3097.0050,3073.1080,11715651900,136522058159.0000,0.009861,0.777616,1,,,,,0
2010-03-04,sh.000001,3098.0690,3102.3980,3016.2150,3023.3730,3097.0050,12638388900,144939960281.0000,0.010637,-2.377517,1,,,,,0
2010-03-05,sh.000001,3026.6390,3044.1650,3011.0880,3031.0650,3023.3730,9225966500,105764004554.0000,0.007764,0.254414,1,,,,,0
2010-03-08,sh.000001,3036.4150,3058.8320,3030.9050,3053.2320,3031.0650,8101195000,92751540604.0000,0.006817,0.731327,1,,,,,0
2010-03-09,sh.000001,3053.2600,3084.8500,3028.6900,3069.1410,3053.2320,9238180300,107489645813.0000,0.007772,0.521060,1,,,,,0
2010-03-10,sh.000001,3067.1500,3085.9940,3034.7390,3048.9270,3069.1410,8461295300,98739579382.0000,0.007118,-0.658624,1,,,,,0
2010-03-11,sh.000001,3050.6440,3070.9350,3025.3090,3051.2820,3048.9270,7987219500,96185690103.0000,0.006718,0.077240,1,,,,,0
2010-03-12,sh.000001,3051.4740,3057.5190,3011.9720,3013.4120,3051.2820,7141891200,84352943940.0000,0.006002,-1.241114,1,,,,,0
2010-03-15,sh.000001,3010.7220,3013.5170,2963.4940,2976.9390,3013.4120,6374976800,74779819309.0000,0.005349,-1.210360,1,,,,,0
2010-03-16,sh.000001,2974.4870,2993.8430,2963.4380,2992.8410,2976.9390,5962799100,69931647605.0000,0.004998,0.534176,1,,,,,0
2010-03-17,sh.000001,2999.8150,3050.7570,2994.8930,3050.4790,2992.8410,8708569900,105010317230.0000,0.007298,1.925860,1,,,,,0
2010-03-18,sh.000001,3053.1580,3063.5860,3035.0190,3046.0890,3050.4790,9137912400,108541262605.0000,0.007655,-0.143908,1,,,,,0
2010-03-19,sh.000001,3046.7490,3069.6620,3031.0230,3067.7500,3046.0890,8848118900,103212258494.0000,0.007411,0.711105,1,,,,,0
2010-03-22,sh.000001,3069.6600,3083.3450,3061.7590,3074.5760,3067.7500,9649941100,113438657970.0000,0.008081,0.222506,1,,,,,0
2010-03-23,sh.000001,3076.9570,3082.9650,3051.2110,3053.1250,3074.5760,9286719000,108718260881.0000,0.007777,-0.697687,1,,,,,0
2010-03-24,sh.000001,3058.9280,3076.7490,3052.2130,3056.8080,3053.1250,8926636500,103520051662.0000,0.007474,0.120634,1,,,,,0
2010-03-25,sh.000001,3051.3560,3051.3560,3012.3080,3019.1760,3056.8080,9019054200,105285006838.0000,0.007551,-1.231091,1,,,,,0
2010-03-26,sh.000001,3017.2150,3067.7070,3009.9050,3059.7150,3019.1760,9307771600,108957224524.0000,0.007790,1.342719,1,,,,,0
2010-03-29,sh.000001,3076.0480,3130.2790,3071.6900,3123.7980,3059.7150,13189511400,155187158143.0000,0.011035,2.094411,1,,,,,0
2010-03-30,sh.000001,3123.8320,3132.5760,3113.7670,3128.4680,3123.7980,10243151500,125184598681.0000,0.008564,0.149495,1,,,,,0
2010-03-31,sh.000001,3129.5740,3130.1120,3101.7560,3109.1050,3128.4680,10114335100,122804448412.0000,0.008454,-0.618930,1,,,,,0
2010-04-01,sh.000001,3111.9350,3148.3440,3111.9350,3147.4160,3109.1050,12677921300,154014263543.0000,0.010582,1.232221,1,,,,,0
