candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume
2017-08-17 04:00:00,4261.48,4349.99,4261.32,4349.99,82.08886499999997,353194.3329302799,334,64.013727
2017-08-17 08:00:00,4333.32,4485.39,4333.32,4427.3,63.619882000000004,282501.15774964995,248,58.787633
2017-08-17 12:00:00,4436.06,4485.39,4333.42,4352.34,174.562001,774238.7983172599,858,125.18413299999999
2017-08-17 16:00:00,4352.33,4354.84,4200.74,4325.23,225.10971599999996,965291.0988036599,986,165.03636299999997
2017-08-17 20:00:00,4307.56,4369.69,4258.56,4285.08,249.76991300000003,1079544.6629312097,1001,203.22668499999997
2017-08-18 00:00:00,4285.08,4340.62,4134.61,4292.39,276.1930430000001,1175805.57438953,1036,214.65557000000007
2017-08-18 04:00:00,4292.39,4340.62,4234.43,4300.25,248.38902899999997,1063954.72616754,1135,203.64669899999996
2017-08-18 08:00:00,4285.0,4371.52,4259.85,4340.31,196.1401290000001,845595.8660427995,880,167.10573200000005
2017-08-18 12:00:00,4320.52,4340.31,4193.7,4236.89,175.96938400000002,749458.5257586099,697,147.078312
2017-08-18 16:00:00,4234.54,4297.75,4015.7,4136.28,193.64696999999998,807331.06009917,753,153.458944
2017-08-18 20:00:00,4135.0,4136.48,3938.77,4108.37,109.549709,444812.55371386,732,86.923453
2017-08-19 00:00:00,4108.37,4184.69,4084.28,4138.55,108.51044800000001,449351.42223461,585,92.399174
2017-08-19 04:00:00,4138.5,4156.0,3933.21,4033.47,112.752079,457214.75420633995,493,76.67902700000002
2017-08-19 08:00:00,4033.47,4082.25,3850.0,3957.6,77.25604200000001,307816.36811400007,481,44.219584
2017-08-19 12:00:00,3945.12,4100.0,3928.89,3972.05,47.51557800000002,192323.93679215995,320,33.81475899999999
2017-08-19 16:00:00,3972.05,4103.92,3953.4,4076.12,25.925056000000005,104478.70292304002,161,20.098673000000005
2017-08-19 20:00:00,4088.71,4149.99,4051.47,4139.98,9.350559999999998,38298.55115135999,113,7.1248249999999995
2017-08-20 00:00:00,4139.98,4139.98,4044.0,4094.62,6.611283000000001,27090.323790139995,79,5.7583850000000005
2017-08-20 04:00:00,4094.62,4156.56,4081.19,4155.87,28.603909999999996,117539.17487370002,275,20.148086999999997
2017-08-20 08:00:00,4155.87,4211.08,4032.62,4106.53,36.019943000000005,148442.01320701998,268,20.259055000000004
2017-08-20 12:00:00,4106.53,4125.43,4063.35,4125.0,29.113266,119507.05568627,128,22.330986
2017-08-20 16:00:00,4125.0,4185.94,4091.59,4164.6,169.995517,703376.44563256,689,146.825698
2017-08-20 20:00:00,4161.59,4171.62,4069.13,4086.29,196.73910299999997,814409.3771367702,882,161.47373599999997
2017-08-21 00:00:00,4069.13,4119.62,4039.0,4084.76,220.838143,901616.4321573197,931,192.38554200000002
2017-08-21 04:00:00,4079.26,4104.68,3953.4,4043.63,222.57512900000003,897752.7647675797,1200,179.073425
2017-08-21 08:00:00,4043.63,4088.12,4000.01,4023.11,78.878314,318369.89414273994,454,63.705722
2017-08-21 12:00:00,4023.11,4023.11,3911.79,4022.0,43.762795999999994,174413.62639184992,479,17.954573999999997
2017-08-21 16:00:00,4005.99,4042.11,3918.8,4027.05,24.46693,97897.65595291996,330,17.923313
2017-08-21 20:00:00,4027.05,4070.49,3950.0,4016.0,101.221748,407181.34061486996,578,86.31353100000001
2017-08-22 00:00:00,4016.0,4016.0,3688.97,3862.39,114.685346,442744.5717048299,731,79.20673
2017-08-22 04:00:00,3863.0,3868.57,3400.0,3798.08,167.22151900000006,627645.60716665,935,109.434454
2017-08-22 08:00:00,3798.08,3920.31,3750.08,3866.48,221.7312359999999,854175.4347076099,1466,138.502727
2017-08-22 12:00:00,3866.48,3990.12,3786.81,3858.23,179.35842100000002,698287.5040577201,1471,42.15569299999999
2017-08-22 16:00:00,3858.23,4104.82,3853.47,3984.24,159.535655,634541.1277891799,1017,28.138590999999998
2017-08-22 20:00:00,3984.5,4061.54,3944.03,4040.0,124.152681,495111.5267145201,874,26.556986
2017-08-23 00:00:00,4040.0,4127.99,4013.89,4100.41,159.65838399999998,651005.6076380698,997,23.420492999999997
2017-08-23 04:00:00,4084.54,4115.87,4035.32,4074.88,141.839603,578320.10546274,1111,27.284198999999994
2017-08-23 08:00:00,4081.63,4242.32,4057.0,4237.99,135.02402200000003,562615.54910386,1053,36.195229999999995
2017-08-23 12:00:00,4205.98,4265.8,4150.65,4197.05,237.36056900000003,997806.7995380902,2601,128.94771499999996
2017-08-23 16:00:00,4226.94,4259.58,4103.51,4117.07,174.637585,731256.2476467501,1856,53.98407800000001
2017-08-23 20:00:00,4136.48,4178.65,4069.8,4114.01,152.61640199999997,627682.15643017,1011,39.58737699999999
2017-08-24 00:00:00,4147.0,4204.55,4085.01,4113.58,123.52014999999999,511550.36438993004,903,27.060743000000002
2017-08-24 04:00:00,4113.58,4177.64,4090.39,4153.32,123.17946,509864.5398042601,789,21.656149
2017-08-24 08:00:00,4153.8,4250.94,4150.0,4202.0,171.48648799999998,718060.12124621,1714,73.05585000000002
2017-08-24 12:00:00,4211.78,4250.9,4136.33,4222.0,146.99734199999997,615368.8455288698,1264,43.382732000000004
2017-08-24 16:00:00,4223.06,4250.77,4178.22,4216.07,111.57935799999998,469850.39412688,839,16.24123
2017-08-24 20:00:00,4216.1,4371.68,4193.17,4316.01,110.65595500000003,471782.1480686099,738,25.423708
2017-08-25 00:00:00,4316.01,4370.0,4295.75,4312.69,141.104526,611984.04895229,1511,28.508087999999997
2017-08-25 04:00:00,4312.69,4362.0,4267.5,4329.0,101.50954300000001,437863.4546003299,925,18.262735999999997
2017-08-25 08:00:00,4317.81,4361.28,4298.74,4361.27,74.43306,322437.9772806801,694,15.959570999999997
2017-08-25 12:00:00,4361.27,4422.29,4261.13,4394.36,164.206656,710205.0076949298,2407,23.930430999999995
